,Unnamed: 0,acc,bool_hebbian,phi,theta
817,,0.3028,0,5,0.005
818,,0.3064,0,5,0.005
819,,0.2085,0,5,0.005
820,,0.3954,0,5,0.005
821,,0.224,0,5,0.005
822,,0.1539,0,5,0.005
823,,0.2167,0,5,0.005
824,,0.4029,0,5,0.005
825,,0.2465,0,5,0.005
826,,0.3002,0,5,0.005
827,,0.4298,0,5,0.005
828,,0.2172,0,5,0.005
829,,0.3404,0,5,0.005
830,,0.3525,0,5,0.005
831,,0.2081,0,5,0.005
832,,0.5317,0,5,0.005
833,,0.418,0,5,0.005
834,,0.3057,0,5,0.005
835,,0.296,0,5,0.005
836,,0.3327,0,5,0.005
837,,0.3115,0,5,0.005
838,,0.3342,0,5,0.005
839,,0.2628,0,5,0.005
840,,0.2062,0,5,0.005
841,,0.3208,0,5,0.005
842,,0.2923,0,5,0.005
843,,0.1912,0,5,0.005
844,,0.2777,0,5,0.005
845,,0.3456,0,5,0.005
846,,0.3925,0,5,0.005
847,,0.2101,0,5,0.005
848,,0.2826,0,5,0.005
849,,0.259,0,5,0.005
850,,0.1344,0,5,0.005
851,,0.3056,0,5,0.005
852,,0.2355,0,5,0.005
853,,0.4482,0,5,0.005
854,,0.3749,0,5,0.005
855,,0.2287,0,5,0.005
856,,0.2699,0,5,0.005
857,,0.4305,0,5,0.005
858,,0.3554,0,5,0.005
859,,0.2244,0,5,0.005
860,,0.2567,0,5,0.005
861,,0.4092,0,5,0.005
862,,0.1462,0,5,0.005
863,,0.3673,0,5,0.005
864,,0.1355,0,5,0.005
865,,0.2653,0,5,0.005
866,,0.1853,0,5,0.005
867,,0.2124,0,5,0.005
868,,0.4019,0,5,0.005
869,,0.244,0,5,0.005
870,,0.2381,0,5,0.005
