,acc,bool_hebbian,phi,theta
534,0.8477,1,0.9000000000000002,1
535,0.7233,1,0.9000000000000002,1
536,0.9475,1,0.9000000000000002,1
537,0.8495,1,0.9000000000000002,1
538,0.7495,1,0.9000000000000002,1
539,0.7663,1,0.9000000000000002,1
540,0.9528,0,0.9500000000000003,1
541,0.7501,0,0.9500000000000003,1
542,0.864,0,0.9500000000000003,1
543,0.6865,0,0.9500000000000003,1
544,0.6786,0,0.9500000000000003,1
545,0.6596,0,0.9500000000000003,1
546,0.6635,0,0.9500000000000003,1
547,0.4836,0,0.9500000000000003,1
548,0.5009,0,0.9500000000000003,1
549,0.8371,0,0.9500000000000003,1
550,0.777,1,0.9500000000000003,1
551,0.8626,1,0.9500000000000003,1
552,0.9516,1,0.9500000000000003,1
553,0.9546,1,0.9500000000000003,1
554,0.7312,1,0.9500000000000003,1
555,0.9417,1,0.9500000000000003,1
556,0.622,1,0.9500000000000003,1
557,0.9481,1,0.9500000000000003,1
558,0.9132,1,0.9500000000000003,1
559,0.7676,1,0.9500000000000003,1
560,0.6706,0,1.0000000000000004,1
561,0.5812,0,1.0000000000000004,1
562,0.6595,0,1.0000000000000004,1
563,0.8553,0,1.0000000000000004,1
564,0.6562,0,1.0000000000000004,1
565,0.6843,0,1.0000000000000004,1
566,0.9506,0,1.0000000000000004,1
567,0.6727,0,1.0000000000000004,1
568,0.8761,0,1.0000000000000004,1
569,0.6776,0,1.0000000000000004,1
570,0.8291,1,1.0000000000000004,1
571,0.7448,1,1.0000000000000004,1
572,0.7676,1,1.0000000000000004,1
573,0.7605,1,1.0000000000000004,1
574,0.8522,1,1.0000000000000004,1
575,0.5653,1,1.0000000000000004,1
576,0.6453,1,1.0000000000000004,1
577,0.7995,1,1.0000000000000004,1
578,0.9378,1,1.0000000000000004,1
579,0.8463,1,1.0000000000000004,1
580,0.8291,0,1.0,1
581,0.952,0,1.0,1
582,0.5744,0,1.0,1
583,0.7725,0,1.0,1
584,0.6635,0,1.0,1
585,0.7825,0,1.0,1
586,0.6763,0,1.0,1
587,0.6624,0,1.0,1
588,0.7675,0,1.0,1
589,0.6541,0,1.0,1
590,0.6702,1,1.0,1
591,0.634,1,1.0,1
592,0.7633,1,1.0,1
593,0.8322,1,1.0,1
594,0.8569,1,1.0,1
595,0.8463,1,1.0,1
596,0.9511,1,1.0,1
597,0.7396,1,1.0,1
598,0.9508,1,1.0,1
599,0.8664,1,1.0,1
600,0.8592,0,1.2,1
601,0.6728,0,1.2,1
602,0.8276,0,1.2,1
603,0.8725,0,1.2,1
604,0.7698,0,1.2,1
605,0.9486,0,1.2,1
606,0.7619,0,1.2,1
607,0.6619,0,1.2,1
608,0.8605,0,1.2,1
609,0.9444,0,1.2,1
610,0.573,1,1.2,1
611,0.7998,1,1.2,1
612,0.8353,1,1.2,1
613,0.7504,1,1.2,1
614,0.8132,1,1.2,1
615,0.7755,1,1.2,1
616,0.9347,1,1.2,1
617,0.6453,1,1.2,1
618,0.6459,1,1.2,1
619,0.646,1,1.2,1
620,0.8594,0,1.4,1
621,0.68,0,1.4,1
622,0.783,0,1.4,1
623,0.7802,0,1.4,1
624,0.5939,0,1.4,1
625,0.685,0,1.4,1
626,0.9532,0,1.4,1
627,0.8611,0,1.4,1
628,0.9433,0,1.4,1
629,0.6615,0,1.4,1
630,0.8632,1,1.4,1
631,0.5296,1,1.4,1
632,0.7653,1,1.4,1
633,0.8475,1,1.4,1
634,0.5835,1,1.4,1
635,0.9552,1,1.4,1
636,0.8707,1,1.4,1
637,0.9442,1,1.4,1
638,0.7662,1,1.4,1
639,0.7584,1,1.4,1
640,0.4021,0,1.5999999999999999,1
641,0.8558,0,1.5999999999999999,1
642,0.7573,0,1.5999999999999999,1
643,0.7836,0,1.5999999999999999,1
644,0.5735,0,1.5999999999999999,1
645,0.9488,0,1.5999999999999999,1
646,0.493,0,1.5999999999999999,1
647,0.7751,0,1.5999999999999999,1
648,0.6893,0,1.5999999999999999,1
649,0.8715,0,1.5999999999999999,1
650,0.945,1,1.5999999999999999,1
651,0.8589,1,1.5999999999999999,1
652,0.9236,1,1.5999999999999999,1
653,0.7212,1,1.5999999999999999,1
654,0.7594,1,1.5999999999999999,1
655,0.852,1,1.5999999999999999,1
656,0.5569,1,1.5999999999999999,1
657,0.8826,1,1.5999999999999999,1
658,0.7363,1,1.5999999999999999,1
659,0.884,1,1.5999999999999999,1
660,0.8692,0,1.7999999999999998,1
661,0.8608,0,1.7999999999999998,1
662,0.6732,0,1.7999999999999998,1
663,0.7859,0,1.7999999999999998,1
664,0.7509,0,1.7999999999999998,1
665,0.682,0,1.7999999999999998,1
666,0.864,0,1.7999999999999998,1
667,0.7666,0,1.7999999999999998,1
668,0.8526,0,1.7999999999999998,1
669,0.5619,0,1.7999999999999998,1
670,0.8523,1,1.7999999999999998,1
671,0.5872,1,1.7999999999999998,1
672,0.7427,1,1.7999999999999998,1
673,0.9505,1,1.7999999999999998,1
674,0.4753,1,1.7999999999999998,1
675,0.7244,1,1.7999999999999998,1
676,0.5903,1,1.7999999999999998,1
677,0.683,1,1.7999999999999998,1
678,0.7655,1,1.7999999999999998,1
679,0.8621,1,1.7999999999999998,1
680,0.4663,0,1.9999999999999998,1
681,0.8553,0,1.9999999999999998,1
682,0.6806,0,1.9999999999999998,1
683,0.8621,0,1.9999999999999998,1
684,0.6848,0,1.9999999999999998,1
685,0.7688,0,1.9999999999999998,1
686,0.5885,0,1.9999999999999998,1
687,0.5994,0,1.9999999999999998,1
688,0.6717,0,1.9999999999999998,1
689,0.8668,0,1.9999999999999998,1
690,0.761,1,1.9999999999999998,1
691,0.8519,1,1.9999999999999998,1
692,0.6804,1,1.9999999999999998,1
693,0.8511,1,1.9999999999999998,1
694,0.7952,1,1.9999999999999998,1
695,0.592,1,1.9999999999999998,1
696,0.8383,1,1.9999999999999998,1
