,Unnamed: 0,Unnamed: 0.1,acc,bool_hebbian,phi,theta
603,,,0.3519,0,5,0.004
604,,,0.3411,0,5,0.004
605,,,0.3608,0,5,0.004
606,,,0.1806,0,5,0.004
607,,,0.2425,0,5,0.004
608,,,0.1203,0,5,0.004
609,,,0.2045,0,5,0.004
610,,,0.3039,0,5,0.004
611,,,0.2083,0,5,0.004
612,,,0.2644,0,5,0.004
613,,,0.1016,0,5,0.004
614,,,0.3857,0,5,0.004
615,,,0.3515,0,5,0.004
616,,,0.365,0,5,0.004
617,,,0.1555,0,5,0.004
618,,,0.2598,0,5,0.004
619,,,0.3011,0,5,0.004
620,,,0.3465,0,5,0.004
621,,,0.2649,0,5,0.004
622,,,0.2615,0,5,0.004
623,,,0.1669,0,5,0.004
624,,,0.3261,0,5,0.004
625,,,0.366,0,5,0.004
626,,,0.3341,0,5,0.004
627,,,0.2934,0,5,0.004
628,,,0.2133,0,5,0.004
629,,,0.3119,0,5,0.004
630,,,0.3424,1,5,0.004
631,,,0.2311,1,5,0.004
632,,,0.1986,1,5,0.004
633,,,0.16,1,5,0.004
634,,,0.4496,1,5,0.004
635,,,0.3594,1,5,0.004
636,,,0.222,1,5,0.004
637,,,0.2996,1,5,0.004
638,,,0.2159,1,5,0.004
639,,,0.4296,1,5,0.004
640,,,0.3179,1,5,0.004
641,,,0.2852,1,5,0.004
642,,,0.3067,1,5,0.004
643,,,0.2153,1,5,0.004
644,,,0.1027,1,5,0.004
645,,,0.1243,1,5,0.004
646,,,0.2367,1,5,0.004
647,,,0.3578,1,5,0.004
648,,,0.151,1,5,0.004
649,,,0.3307,1,5,0.004
650,,,0.1723,1,5,0.004
651,,,0.3196,1,5,0.004
652,,,0.4218,1,5,0.004
653,,,0.3262,1,5,0.004
654,,,0.28,1,5,0.004
655,,,0.193,1,5,0.004
656,,,0.3994,1,5,0.004
657,,,0.1371,1,5,0.004
658,,,0.3079,1,5,0.004
659,,,0.1977,1,5,0.004
660,,,0.3658,1,5,0.004
661,,,0.2903,1,5,0.004
662,,,0.316,1,5,0.004
663,,,0.1076,1,5,0.004
664,,,0.3423,1,5,0.004
665,,,0.369,1,5,0.004
666,,,0.1177,1,5,0.004
667,,,0.1504,1,5,0.004
668,,,0.443,1,5,0.004
669,,,0.1769,1,5,0.004
670,,,0.237,1,5,0.004
671,,,0.204,1,5,0.004
672,,,0.3408,1,5,0.004
673,,,0.0925,1,5,0.004
674,,,0.3094,1,5,0.004
675,,,0.2581,1,5,0.004
676,,,0.24,1,5,0.004
677,,,0.3804,1,5,0.004
678,,,0.1091,1,5,0.004
679,,,0.2432,1,5,0.004
680,,,0.1276,1,5,0.004
681,,,0.2027,1,5,0.004
682,,,0.3439,1,5,0.004
683,,,0.0985,1,5,0.004
684,,,0.2886,1,5,0.004
685,,,0.1446,1,5,0.004
686,,,0.33,1,5,0.004
687,,,0.3412,1,5,0.004
688,,,0.1339,1,5,0.004
689,,,0.114,1,5,0.004
690,,,0.3495,1,5,0.004
691,,,0.2973,1,5,0.004
692,,,0.4206,1,5,0.004
693,,,0.2589,1,5,0.004
694,,,0.2805,1,5,0.004
695,,,0.5162,1,5,0.004
696,,,0.1869,1,5,0.004
697,,,0.192,1,5,0.004
698,,,0.2006,1,5,0.004
699,,,0.2324,1,5,0.004
700,,,0.3666,1,5,0.004
701,,,0.2312,1,5,0.004
702,,,0.1509,1,5,0.004
703,,,0.352,1,5,0.004
704,,,0.2527,1,5,0.004
705,,,0.2827,1,5,0.004
706,,,0.1593,1,5,0.004
707,,,0.1748,1,5,0.004
708,,,0.1879,1,5,0.004
709,,,0.2375,1,5,0.004
710,,,0.4151,1,5,0.004
711,,,0.2761,1,5,0.004
712,,,0.15,1,5,0.004
713,,,0.226,1,5,0.004
714,,,0.2568,1,5,0.004
715,,,0.3509,1,5,0.004
716,,,0.2531,1,5,0.004
717,,,0.2296,1,5,0.004
718,,,0.2589,1,5,0.004
719,,,0.234,1,5,0.004
720,,,0.2545,0,5,0.005
721,,,0.3857,0,5,0.005
722,,,0.1732,0,5,0.005
723,,,0.4216,0,5,0.005
724,,,0.3347,0,5,0.005
725,,,0.2915,0,5,0.005
726,,,0.2634,0,5,0.005
727,,,0.3835,0,5,0.005
728,,,0.3118,0,5,0.005
729,,,0.3649,0,5,0.005
730,,,0.1991,0,5,0.005
731,,,0.2755,0,5,0.005
732,,,0.3364,0,5,0.005
733,,,0.261,0,5,0.005
734,,,0.2957,0,5,0.005
735,,,0.2406,0,5,0.005
736,,,0.3809,0,5,0.005
737,,,0.2882,0,5,0.005
738,,,0.2328,0,5,0.005
739,,,0.4533,0,5,0.005
740,,,0.3659,0,5,0.005
741,,,0.3606,0,5,0.005
742,,,0.2498,0,5,0.005
743,,,0.522,0,5,0.005
744,,,0.23,0,5,0.005
745,,,0.4159,0,5,0.005
746,,,0.2175,0,5,0.005
747,,,0.3233,0,5,0.005
748,,,0.2045,0,5,0.005
749,,,0.3555,0,5,0.005
750,,,0.2818,0,5,0.005
751,,,0.3269,0,5,0.005
752,,,0.4502,0,5,0.005
753,,,0.3092,0,5,0.005
754,,,0.1136,0,5,0.005
755,,,0.2657,0,5,0.005
756,,,0.3148,0,5,0.005
757,,,0.3199,0,5,0.005
758,,,0.4896,0,5,0.005
759,,,0.2578,0,5,0.005
760,,,0.2863,0,5,0.005
761,,,0.2368,0,5,0.005
762,,,0.289,0,5,0.005
763,,,0.2411,0,5,0.005
764,,,0.416,0,5,0.005
765,,,0.2563,0,5,0.005
766,,,0.2197,0,5,0.005
767,,,0.3689,0,5,0.005
768,,,0.3213,0,5,0.005
769,,,0.431,0,5,0.005
770,,,0.4113,0,5,0.005
771,,,0.2016,0,5,0.005
772,,,0.3922,0,5,0.005
773,,,0.3915,0,5,0.005
774,,,0.3381,0,5,0.005
775,,,0.3762,0,5,0.005
776,,,0.318,0,5,0.005
777,,,0.428,0,5,0.005
778,,,0.1604,0,5,0.005
779,,,0.3561,0,5,0.005
780,,,0.421,0,5,0.005
781,,,0.3231,0,5,0.005
782,,,0.3788,0,5,0.005
783,,,0.3577,0,5,0.005
784,,,0.4451,0,5,0.005
785,,,0.3101,0,5,0.005
786,,,0.4035,0,5,0.005
